id,logic_score,math_score,art_score,english_score,interest_field,career_goal,study_time_per_week,current_level,Target_Course
760a5e09,7,4,8,7,Game,Company,2-5h,Beginner,Game Design & Art
a76449f8,3,8,8,5,Game,Competition,< 2h,Beginner,Scratch for Beginners
8a5b2a95,9,4,5,9,Web,Startup,2-5h,Intermediate,Web Backend (PHP/Nodejs)
2bd50131,7,7,9,8,Mobile App,Freelancer,2-5h,Advanced,Flutter Cross-platform
0e4aaaaa,6,8,2,8,AI/Data,Freelancer,2-5h,Beginner,Python Basic
186a7238,7,5,4,5,AI/Data,Freelancer,2-5h,Beginner,Python Basic
dfa87aa3,5,8,6,10,AI/Data,Freelancer,< 2h,Advanced,Python for Data Science
018e7ee7,7,6,3,3,Office,Startup,> 10h,Intermediate,Tin hoc van phong
6e4d4625,6,6,7,2,AI/Data,Company,2-5h,Beginner,Python Basic
7a9ad366,7,7,7,6,AI/Data,Company,5-10h,Beginner,Python Basic
a7ee494d,8,9,8,5,Web,Company,> 10h,Intermediate,Web Backend (PHP/Nodejs)
bab6a519,7,7,1,3,AI/Data,Startup,< 2h,Beginner,Python Basic
b52933b5,9,7,9,5,Game,Freelancer,5-10h,Advanced,Game Dev (Unity/C#)
93596bdd,7,2,6,1,Web,Company,2-5h,Beginner,Web Backend (PHP/Nodejs)
a4005eb5,6,8,4,4,Office,Competition,2-5h,Intermediate,Tin hoc van phong
23e86bd8,1,2,5,2,Office,Freelancer,2-5h,Beginner,Tin hoc van phong
0c49a1d3,4,4,6,7,Web,Freelancer,> 10h,Beginner,Web Backend (PHP/Nodejs)
3cf8f462,4,5,8,7,Office,Freelancer,< 2h,Beginner,Tin hoc van phong
7a5b5e76,5,8,1,4,IOT,Freelancer,< 2h,Beginner,Arduino Basic
d6a95e20,4,8,4,2,Mobile App,Competition,> 10h,Beginner,Android Basic
a0eeb505,8,8,9,4,Game,Freelancer,2-5h,Intermediate,Game Design & Art
db983da9,7,9,7,9,AI/Data,Company,5-10h,Intermediate,Python for Data Science
1e549f13,4,4,6,4,IOT,Freelancer,< 2h,Intermediate,Arduino Basic
497037b3,4,6,4,6,Mobile App,Company,2-5h,Beginner,Android Basic
3efaceb5,9,9,8,9,Office,Competition,2-5h,Intermediate,Tin hoc van phong
d1c824f7,4,1,6,8,Office,Startup,2-5h,Beginner,Tin hoc van phong
34fd35ab,5,8,5,2,Office,Company,2-5h,Beginner,Tin hoc van phong
8613f3c9,9,7,6,4,IOT,Company,2-5h,Intermediate,C/C++ for IoT
ff1778e2,3,6,6,6,Office,Freelancer,< 2h,Intermediate,Tin hoc van phong
5a020977,7,3,7,9,Web,Company,> 10h,Intermediate,Frontend (HTML/CSS/JS)
1c8124d3,7,1,1,7,Mobile App,Company,< 2h,Beginner,Flutter Cross-platform
e33809fb,3,3,6,9,Web,Company,< 2h,Intermediate,Frontend (HTML/CSS/JS)
efbcd71f,3,3,1,8,Office,Competition,< 2h,Beginner,Tin hoc van phong
3fc2c20c,5,5,3,5,Web,Company,> 10h,Intermediate,Frontend (HTML/CSS/JS)
1d082e44,7,4,2,1,IOT,Startup,< 2h,Beginner,C/C++ for IoT
4933d80d,6,9,3,6,Mobile App,Freelancer,5-10h,Intermediate,Flutter Cross-platform
4bb5c61b,6,5,7,10,AI/Data,Freelancer,2-5h,Advanced,Python Basic
d4b43892,8,6,4,8,AI/Data,Freelancer,2-5h,Beginner,Python Basic
3b91fa3d,8,5,5,3,Office,Freelancer,> 10h,Intermediate,Tin hoc van phong
e88d1fc4,3,5,7,6,Office,Competition,5-10h,Beginner,Tin hoc van phong
eed956f8,3,1,7,2,Web,Freelancer,< 2h,Beginner,Frontend (HTML/CSS/JS)
093ee7a1,7,7,8,7,Web,Startup,2-5h,Beginner,Frontend (HTML/CSS/JS)
c8ec76a9,3,1,7,7,Office,Freelancer,5-10h,Beginner,Tin hoc van phong
a668feca,4,4,6,7,Office,Freelancer,2-5h,Intermediate,Tin hoc van phong
5b382670,7,5,8,9,Mobile App,Competition,< 2h,Advanced,Android Basic
7dc634de,7,8,7,7,AI/Data,Company,> 10h,Beginner,Python Basic
2b82b030,5,7,6,5,Game,Freelancer,< 2h,Beginner,Scratch for Beginners
89317f66,6,7,6,5,Game,Company,2-5h,Intermediate,Game Dev (Unity/C#)
cd810f1d,8,6,4,4,Web,Company,5-10h,Intermediate,Web Backend (PHP/Nodejs)
96583477,7,8,3,7,Office,Company,5-10h,Intermediate,Tin hoc van phong
dacf3ee1,8,4,4,4,Mobile App,Company,2-5h,Beginner,Flutter Cross-platform
1b792d1c,4,4,8,6,Web,Freelancer,2-5h,Beginner,Frontend (HTML/CSS/JS)
e64b2129,5,4,5,6,IOT,Freelancer,5-10h,Intermediate,Arduino Basic
a2e8251e,5,10,5,5,AI/Data,Competition,2-5h,Advanced,Python Basic
25dd8b90,4,6,6,1,AI/Data,Company,< 2h,Beginner,Python Basic
79245eda,8,9,5,7,Office,Freelancer,2-5h,Advanced,Tin hoc van phong
0d559d0e,7,6,8,3,Office,Company,2-5h,Beginner,Tin hoc van phong
abfb8d00,4,9,7,3,AI/Data,Freelancer,5-10h,Intermediate,Python Basic
2d946dc3,3,2,7,8,Game,Startup,2-5h,Beginner,Game Design & Art
1ae4e393,7,3,8,8,Web,Competition,> 10h,Beginner,Fullstack Web (MERN)
a8f247dc,3,6,4,8,Game,Startup,2-5h,Intermediate,Scratch for Beginners
f4fba379,1,2,4,4,Office,Startup,> 10h,Beginner,Tin hoc van phong
c96e68ef,8,4,3,1,IOT,Company,2-5h,Beginner,C/C++ for IoT
41f6fbfb,7,3,6,3,IOT,Freelancer,5-10h,Intermediate,C/C++ for IoT
41115a51,6,4,2,2,AI/Data,Startup,2-5h,Beginner,Python Basic
9b21bb42,8,10,7,9,AI/Data,Competition,2-5h,Advanced,Competitive Programming (C++)
67b9920a,8,1,3,3,Web,Startup,2-5h,Beginner,Web Backend (PHP/Nodejs)
a5144891,10,6,9,8,Web,Freelancer,5-10h,Advanced,Fullstack Web (MERN)
f447a539,5,9,6,9,AI/Data,Competition,2-5h,Intermediate,Python for Data Science
588f2bd7,6,6,3,9,AI/Data,Freelancer,2-5h,Intermediate,Python for Data Science
ee72c0a7,6,8,5,4,Office,Company,> 10h,Beginner,Tin hoc van phong
175ab998,5,9,5,9,AI/Data,Competition,2-5h,Intermediate,Python for Data Science
f25ebfdb,3,3,7,5,Game,Freelancer,< 2h,Intermediate,Game Design & Art
1734e4f2,6,8,7,3,Web,Startup,5-10h,Beginner,Frontend (HTML/CSS/JS)
cd68d16d,6,4,3,4,Mobile App,Freelancer,2-5h,Beginner,Flutter Cross-platform
a19ecd98,5,4,5,9,Office,Startup,> 10h,Intermediate,Tin hoc van phong
de7c2cc6,3,4,7,1,Game,Company,2-5h,Beginner,Scratch for Beginners
b5ce880f,1,8,5,8,Game,Freelancer,2-5h,Beginner,Scratch for Beginners
e059793a,1,3,4,1,Office,Startup,< 2h,Beginner,Tin hoc van phong
613d7efc,3,4,9,4,Game,Company,5-10h,Intermediate,Game Design & Art
7227f90d,3,7,6,8,Web,Company,< 2h,Beginner,Web Backend (PHP/Nodejs)
deb12501,4,3,6,6,Office,Company,2-5h,Intermediate,Tin hoc van phong
1b73cd94,3,4,4,8,Game,Freelancer,< 2h,Intermediate,Scratch for Beginners
702c1898,6,7,3,5,IOT,Company,5-10h,Intermediate,C/C++ for IoT
b1ac77a1,7,1,4,3,Game,Competition,< 2h,Beginner,Game Dev (Unity/C#)
665853c8,5,5,7,8,Game,Freelancer,2-5h,Intermediate,Game Design & Art
14d0c469,5,8,5,5,IOT,Competition,2-5h,Advanced,Arduino Basic
ca5d8926,7,9,6,8,AI/Data,Competition,2-5h,Intermediate,Competitive Programming (C++)
81e23c1b,3,8,8,1,Web,Startup,2-5h,Beginner,Frontend (HTML/CSS/JS)
7f6a190f,7,5,5,6,IOT,Company,2-5h,Advanced,Arduino Basic
0f67202a,8,6,4,2,Web,Startup,5-10h,Beginner,Web Backend (PHP/Nodejs)
341166de,6,3,8,1,Game,Freelancer,< 2h,Beginner,Game Dev (Unity/C#)
770239a7,6,3,7,3,Game,Startup,> 10h,Intermediate,Game Design & Art
ca467e2a,10,9,7,7,AI/Data,Freelancer,5-10h,Advanced,Python for Data Science
335e6b1d,3,3,6,5,Mobile App,Startup,2-5h,Intermediate,Android Basic
2d47c037,3,6,8,6,Web,Freelancer,< 2h,Beginner,Frontend (HTML/CSS/JS)
fac98acb,8,6,6,5,Mobile App,Company,2-5h,Beginner,Flutter Cross-platform
6645e452,6,6,3,2,AI/Data,Freelancer,2-5h,Beginner,Python Basic
2eb5d381,8,4,4,7,AI/Data,Freelancer,< 2h,Beginner,Python Basic
27dcafa5,3,7,6,7,Web,Startup,2-5h,Intermediate,Frontend (HTML/CSS/JS)
b2446e96,5,6,5,3,Web,Company,< 2h,Intermediate,Frontend (HTML/CSS/JS)
424c6af4,3,6,6,8,Web,Startup,5-10h,Intermediate,Frontend (HTML/CSS/JS)
584eaf6c,5,6,5,6,Office,Company,< 2h,Beginner,Tin hoc van phong
943e321b,5,6,4,7,Game,Company,5-10h,Intermediate,Scratch for Beginners
e68042ed,9,5,10,9,Game,Startup,< 2h,Advanced,Game Dev (Unity/C#)
8e909527,6,7,3,6,AI/Data,Company,2-5h,Intermediate,Python for Data Science
82508d2c,9,7,7,9,Mobile App,Startup,< 2h,Intermediate,Flutter Cross-platform
06b8a51f,4,6,4,3,AI/Data,Startup,> 10h,Intermediate,Python Basic
40dadacb,4,9,8,4,Web,Freelancer,2-5h,Intermediate,Web Backend (PHP/Nodejs)
fe5607f7,7,10,6,10,Office,Startup,< 2h,Advanced,Tin hoc van phong
5534e0ac,9,4,9,5,Office,Startup,2-5h,Intermediate,Tin hoc van phong
29bbeb33,4,4,4,3,Web,Startup,2-5h,Intermediate,Frontend (HTML/CSS/JS)
c086d7b7,5,5,5,10,IOT,Company,> 10h,Advanced,C/C++ for IoT
c605e63f,8,7,7,2,Web,Freelancer,5-10h,Beginner,Web Backend (PHP/Nodejs)
34559aef,5,6,2,1,AI/Data,Company,5-10h,Beginner,Python Basic
2eb525fb,9,8,6,5,IOT,Company,< 2h,Advanced,C/C++ for IoT
748b5685,6,7,6,3,Mobile App,Startup,5-10h,Intermediate,Flutter Cross-platform
9996efb5,8,8,6,5,IOT,Company,< 2h,Intermediate,C/C++ for IoT
f12716d0,7,7,7,2,Game,Freelancer,2-5h,Beginner,Game Dev (Unity/C#)
f3543850,2,8,8,3,Web,Startup,2-5h,Beginner,Frontend (HTML/CSS/JS)
e3ca265e,3,4,9,8,Web,Startup,> 10h,Intermediate,Frontend (HTML/CSS/JS)
ded2a528,7,8,4,4,IOT,Company,2-5h,Intermediate,C/C++ for IoT
f78d4c63,6,1,4,2,Office,Startup,2-5h,Beginner,Tin hoc van phong
e9f51a64,8,8,3,4,IOT,Company,< 2h,Beginner,C/C++ for IoT
d4e2478f,5,1,8,5,Office,Startup,5-10h,Beginner,Tin hoc van phong
54ea6175,6,4,4,5,Mobile App,Freelancer,< 2h,Beginner,Flutter Cross-platform
cce982fe,6,6,5,8,Mobile App,Startup,2-5h,Beginner,Flutter Cross-platform
1dca2de1,7,6,7,8,AI/Data,Company,2-5h,Beginner,Python Basic
87a55aa6,7,8,4,6,AI/Data,Startup,5-10h,Intermediate,Python for Data Science
ab10fd17,6,10,7,5,Mobile App,Freelancer,2-5h,Advanced,Flutter Cross-platform
4ad78464,9,5,6,4,Web,Startup,5-10h,Intermediate,Web Backend (PHP/Nodejs)
19338439,7,2,7,2,Web,Company,5-10h,Beginner,Frontend (HTML/CSS/JS)
f65584ac,8,9,3,6,AI/Data,Company,2-5h,Intermediate,Python for Data Science
1c8e142a,7,3,4,4,Web,Startup,5-10h,Intermediate,Frontend (HTML/CSS/JS)
15d2771c,3,9,4,8,Office,Startup,5-10h,Intermediate,Tin hoc van phong
1db5d555,10,5,9,9,Mobile App,Freelancer,5-10h,Advanced,Flutter Cross-platform
5a2c849d,4,8,7,8,AI/Data,Company,2-5h,Intermediate,Python for Data Science
7d2eab2d,7,9,5,6,Web,Company,5-10h,Intermediate,Web Backend (PHP/Nodejs)
5e6789de,4,8,3,5,Mobile App,Freelancer,< 2h,Beginner,Android Basic
c1e2b9c2,10,5,9,10,Web,Company,< 2h,Advanced,Frontend (HTML/CSS/JS)
26bff1f8,6,7,4,8,Game,Competition,> 10h,Intermediate,Game Dev (Unity/C#)
272b97d8,9,9,6,7,AI/Data,Startup,2-5h,Intermediate,Python for Data Science
f03a84df,7,5,4,7,AI/Data,Freelancer,5-10h,Intermediate,Python for Data Science
dc7e916b,6,1,6,6,Mobile App,Company,< 2h,Beginner,Flutter Cross-platform
c516c8c6,7,9,4,4,Mobile App,Startup,2-5h,Intermediate,Android Basic
b1815f82,6,5,6,2,Web,Company,> 10h,Beginner,Web Backend (PHP/Nodejs)
9b4d5efd,4,7,2,2,Office,Startup,2-5h,Beginner,Tin hoc van phong
6ce5f311,5,4,3,7,Web,Startup,5-10h,Intermediate,Frontend (HTML/CSS/JS)
24d98b51,7,6,5,3,Game,Competition,2-5h,Intermediate,Game Dev (Unity/C#)
5c1987dc,6,5,7,6,Game,Company,< 2h,Intermediate,Game Design & Art
11447033,5,6,6,3,AI/Data,Competition,> 10h,Intermediate,Python Basic
301fe6ae,3,5,3,3,Mobile App,Startup,2-5h,Beginner,Android Basic
41bb6e75,5,4,3,1,Office,Company,2-5h,Beginner,Tin hoc van phong
1495db46,3,8,2,3,Mobile App,Competition,> 10h,Beginner,Android Basic
cb34a1bd,8,9,9,8,Mobile App,Competition,2-5h,Advanced,Competitive Programming (C++)
425d303f,9,8,4,7,Web,Freelancer,> 10h,Intermediate,Fullstack Web (MERN)
9a2009c5,5,2,3,7,Mobile App,Company,5-10h,Beginner,Flutter Cross-platform
fa4090d9,1,2,8,5,Office,Competition,< 2h,Beginner,Tin hoc van phong
a22766af,6,6,6,10,Mobile App,Company,2-5h,Advanced,Flutter Cross-platform
cf54c76e,2,3,1,7,Office,Startup,5-10h,Beginner,Tin hoc van phong
ffd02bfa,7,5,5,2,AI/Data,Competition,2-5h,Beginner,Python Basic
3837862f,8,6,5,8,AI/Data,Competition,< 2h,Beginner,Python Basic
4f89aab5,4,1,5,5,Office,Company,5-10h,Beginner,Tin hoc van phong
80260158,3,6,4,7,Mobile App,Company,2-5h,Intermediate,Android Basic
8c6bf66b,3,5,3,5,Office,Startup,> 10h,Intermediate,Tin hoc van phong
1df677fd,8,4,5,1,Game,Company,5-10h,Beginner,Game Dev (Unity/C#)
b51e5a1b,9,8,6,3,AI/Data,Competition,5-10h,Intermediate,Python Basic
5a319fa5,9,7,4,5,Game,Competition,< 2h,Intermediate,Competitive Programming (C++)
30907942,3,8,3,3,Web,Company,2-5h,Intermediate,Frontend (HTML/CSS/JS)
f1dbfb79,9,7,3,8,AI/Data,Company,> 10h,Intermediate,Python for Data Science
367cb0ce,5,3,3,1,Office,Company,2-5h,Beginner,Tin hoc van phong
0c6d32c5,7,7,7,3,AI/Data,Startup,> 10h,Intermediate,Python for Data Science
7371b9d6,5,6,3,9,Mobile App,Company,2-5h,Intermediate,Android Basic
8344f2ee,4,6,6,3,Web,Startup,< 2h,Beginner,Web Backend (PHP/Nodejs)
80b0795f,6,9,9,7,Web,Freelancer,2-5h,Advanced,Frontend (HTML/CSS/JS)
1432f4fe,6,3,6,5,Office,Startup,2-5h,Intermediate,Tin hoc van phong
25c646a6,7,6,3,9,IOT,Company,5-10h,Intermediate,C/C++ for IoT
beba335f,8,1,7,5,Web,Startup,5-10h,Beginner,Frontend (HTML/CSS/JS)
260b8322,4,4,9,9,Game,Startup,5-10h,Intermediate,Game Design & Art
236d5288,2,5,6,7,Game,Competition,5-10h,Beginner,Scratch for Beginners
59701853,5,3,6,2,Game,Startup,< 2h,Beginner,Scratch for Beginners
51b28833,8,5,6,6,AI/Data,Company,2-5h,Advanced,Python Basic
3e6c8794,8,5,9,10,Office,Startup,2-5h,Advanced,Tin hoc van phong
1930880c,8,7,2,1,IOT,Startup,2-5h,Beginner,C/C++ for IoT
73a725b9,5,6,4,4,AI/Data,Competition,> 10h,Intermediate,Python Basic
3e05dbfc,7,7,7,8,Office,Startup,2-5h,Intermediate,Tin hoc van phong
3b034591,5,7,3,8,Mobile App,Startup,5-10h,Intermediate,Flutter Cross-platform
f94ea0f8,4,1,7,7,Office,Company,< 2h,Beginner,Tin hoc van phong
5f00a3b9,1,5,7,4,Game,Competition,< 2h,Beginner,Scratch for Beginners
0d9209de,6,4,7,3,Office,Company,2-5h,Beginner,Tin hoc van phong
b5a9ca44,9,8,10,7,Web,Freelancer,< 2h,Advanced,Web Backend (PHP/Nodejs)
4baeb02b,4,4,5,9,Web,Competition,5-10h,Intermediate,Frontend (HTML/CSS/JS)
86171d06,10,7,5,9,IOT,Competition,5-10h,Advanced,Competitive Programming (C++)
6013107c,2,4,6,2,Office,Company,5-10h,Beginner,Tin hoc van phong
9a2cab3d,4,4,7,7,Web,Freelancer,> 10h,Beginner,Frontend (HTML/CSS/JS)
6a776966,5,5,7,9,Game,Company,2-5h,Advanced,Scratch for Beginners
8b888159,6,8,3,9,Office,Company,< 2h,Intermediate,Tin hoc van phong
c99bd2a4,7,4,3,3,AI/Data,Company,> 10h,Intermediate,Python Basic
6e9e5969,10,9,10,6,Office,Freelancer,2-5h,Advanced,Tin hoc van phong
eae54eb3,6,7,5,5,IOT,Startup,2-5h,Beginner,Arduino Basic
962f473c,7,5,8,6,Office,Freelancer,5-10h,Beginner,Tin hoc van phong
fdbf23fa,8,6,6,7,AI/Data,Freelancer,5-10h,Intermediate,Python for Data Science
38dc47a0,7,6,5,6,AI/Data,Startup,2-5h,Intermediate,Python for Data Science
b666aa94,3,4,5,3,IOT,Freelancer,< 2h,Intermediate,Arduino Basic
0fded8be,4,9,3,7,AI/Data,Startup,> 10h,Intermediate,Python for Data Science
5bbb9887,6,6,3,8,Office,Company,2-5h,Beginner,Tin hoc van phong
b3a22f96,3,3,4,2,Mobile App,Competition,< 2h,Beginner,Android Basic
bd203b22,9,7,6,7,AI/Data,Company,5-10h,Intermediate,Python for Data Science
663f1f97,4,6,6,4,Office,Freelancer,2-5h,Intermediate,Tin hoc van phong
701234d7,4,6,4,6,Office,Startup,5-10h,Intermediate,Tin hoc van phong
254efc89,6,7,3,6,Mobile App,Company,2-5h,Intermediate,Flutter Cross-platform
4f94668c,6,4,1,1,AI/Data,Freelancer,5-10h,Beginner,Python Basic
8ec8f479,5,4,5,4,Office,Company,5-10h,Beginner,Tin hoc van phong
6a1a8906,7,7,4,5,IOT,Freelancer,2-5h,Intermediate,C/C++ for IoT
55cbfa1c,8,9,4,5,AI/Data,Freelancer,5-10h,Intermediate,Python for Data Science
077534ff,7,3,2,2,IOT,Competition,5-10h,Beginner,C/C++ for IoT
dc5fc1cb,8,6,4,3,Web,Startup,< 2h,Beginner,Web Backend (PHP/Nodejs)
5cb33506,9,9,5,10,Web,Startup,2-5h,Advanced,Frontend (HTML/CSS/JS)
